year,session,code,unit,max_mark,A*,A,B,C,D,E
2021,january,FM04,FURTHER MATHEMATICS UNIT 4,80,64,56,48,40,32,24
2021,january,FM05,FURTHER MATHEMATICS UNIT 5,80,68,60,52,44,36,28
2021,january,MA01,MATHEMATICS UNIT 1,80,,58,49,40,31,23
2021,january,MA02,MATHEMATICS UNIT 2,80,,59,51,43,35,27
2021,january,MA03,MATHEMATICS UNIT 3,120,103,90,77,64,52,40
2021,january,MA04,MATHEMATICS UNIT 4,80,68,60,52,44,36,29
2021,january,MA05,MATHEMATICS UNIT 5,80,70,62,54,46,38,30
2021,january,PH01,PHYSICS UNIT 1,80,,48,43,38,33,28
2021,january,PH02,PHYSICS UNIT 2,80,,52,46,40,34,29
2021,january,PH03,PHYSICS UNIT 3,80,54,49,44,39,34,29
2021,january,PH04,PHYSICS UNIT 4,80,60,53,46,40,34,28
2021,january,PH05,PHYSICS UNIT 5,80,58,52,46,40,35,30
2021,january,PS01,PSYCHOLOGY UNIT 1,90,,59,51,43,35,27
2021,january,PS02,PSYCHOLOGY UNIT 2,90,,65,56,47,38,29
2021,january,PS03,PSYCHOLOGY UNIT 3,90,76,66,56,46,37,28
2021,january,PS04,PSYCHOLOGY UNIT 4,90,75,65,55,45,35,26
2022,june,BL01,BIOLOGY UNIT 1,75,,48,42,36,30,25
2022,june,BL02,BIOLOGY UNIT 2,75,,45,40,35,30,25
2022,june,BL03,BIOLOGY UNIT 3,75,52,46,40,35,30,25
2022,june,BL04,BIOLOGY UNIT 4,75,49,44,39,35,31,27
2022,june,BL05,BIOLOGY UNIT 5,75,49,44,39,35,31,27
2022,june,BU01,BUSINESS UNIT 1,80,,56,49,42,35,29
2022,june,BU02,BUSINESS UNIT 2,80,,54,47,41,35,29
2022,june,BU03,BUSINESS UNIT 3,80,69,61,53,45,37,29
2022,june,BU04,BUSINESS UNIT 4,80,69,61,53,45,37,30
2022,june,CH01,CHEMISTRY UNIT 1,70,,52,45,38,32,26
2022,june,CH02,CHEMISTRY UNIT 2,70,,52,45,38,32,26
2022,june,CH03,CHEMISTRY UNIT 3,80,64,56,48,40,33,26
2022,june,CH04,CHEMISTRY UNIT 4,80,63,55,47,39,31,23
2022,june,CH05,CHEMISTRY UNIT 5,60,49,43,37,32,27,22
2022,june,EC01,ECONOMICS UNIT 1,80,,58,49,41,33,25
2022,june,EC02,ECONOMICS UNIT 2,80,,59,51,43,35,28
2022,june,EC03,ECONOMICS UNIT 3,90,75,66,57,49,41,33
2022,june,EC04,ECONOMICS UNIT 4,90,76,67,58,49,41,33
2022,june,EN01,ENGLISH LANGUAGE UNIT 1,50,,39,34,29,24,19
2022,june,EN02,ENGLISH LANGUAGE UNIT 2,50,,36,31,26,22,18
2022,june,EN04A,ENGLISH LANGUAGE UNIT 4A,50,43,38,33,28,23,19
2022,june,EN04B,ENGLISH LANGUAGE UNIT 4B,50,43,38,33,28,23,19
2022,june,LT01,ENGLISH LITERATURE UNIT 1,50,,32,27,22,17,12
2022,june,LT02,ENGLISH LITERATURE UNIT 2,50,,32,27,22,17,13
2022,june,LT03,ENGLISH LITERATURE UNIT 3,50,41,36,31,26,22,18
2022,june,LT04A,ENGLISH LITERATURE UNIT 4A,50,43,38,33,28,23,18
2022,june,LT04B,ENGLISH LITERATURE UNIT 4B,50,43,38,33,28,23,18
2022,june,GG01A,GEOGRAPHY UNIT 1 OPTION A,80,,49,42,35,28,21
2022,june,GG01B,GEOGRAPHY UNIT 1 OPTION B,80,,49,42,35,28,21
2022,june,GG02,GEOGRAPHY UNIT 2,80,,52,44,37,30,23
2022,june,GG03,GEOGRAPHY UNIT 3,80,66,57,48,39,30,22
2022,june,GG04,GEOGRAPHY UNIT 4,80,68,59,50,41,32,24
2022,june,GG05,GEOGRAPHY UNIT 5,60,47,41,35,29,23,18
2022,june,FM01,FURTHER MATHS UNIT 1 (FP1),80,,59,51,43,35,28
